country,visitors,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,LearnerRatioPerCapita
Runion,5,,,,,,,,,,,0
Czech Republic,16,,,,,,,,,,,0
European Union,11,,,,,,,,,,,0
Macedonia,1,,,,,,,,,,,0
Hong Kong SAR China,30,,,,,,,,,,,0
Guernsey,1,,,,,,,,,,,0
Trinidad & Tobago,1,,,,,,,,,,,0
Myanmar (Burma),2,,,,,,,,,,,0
American Samoa,5,55169.0,-0.22 %,-121.0,276.0,200.0,,N.A.,N.A.,88 %,0.00 %,11033
Isle of Man,1,85112.0,0.53 %,449.0,149.0,570.0,,N.A.,N.A.,53 %,0.00 %,85112
Luxembourg,6,627704.0,1.66 %,10249.0,242.0,2590.0,9741.0,1.5,40,88 %,0.01 %,104617
Martinique,3,375213.0,-0.08 %,-289.0,354.0,1060.0,-960.0,1.9,47,92 %,0.00 %,125071
Malta,3,441750.0,0.27 %,1171.0,1380.0,320.0,900.0,1.5,43,93 %,0.01 %,147250
Sweden,54,10110233.0,0.63 %,62886.0,25.0,410340.0,40000.0,1.9,41,88 %,0.13 %,187226
Singapore,27,5858322.0,0.79 %,46005.0,8358.0,700.0,27028.0,1.2,42,N.A.,0.08 %,216974
Ireland,22,4947267.0,1.13 %,55291.0,72.0,68890.0,23604.0,1.8,38,63 %,0.06 %,224875
Norway,24,5428594.0,0.79 %,42384.0,15.0,365268.0,28000.0,1.7,40,83 %,0.07 %,226191
United States,1451,331341050.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,228353
Suriname,2,587541.0,0.90 %,5260.0,4.0,156000.0,-1000.0,2.4,29,65 %,0.01 %,293770
Mexico,435,129166028.0,1.06 %,1357224.0,66.0,1943950.0,-60000.0,2.1,29,84 %,1.65 %,296933
Canada,118,37799407.0,0.89 %,331107.0,4.0,9093510.0,242032.0,1.5,41,81 %,0.48 %,320333
Australia,78,25550683.0,1.18 %,296686.0,3.0,7682300.0,158246.0,1.8,38,86 %,0.33 %,327572
Iceland,1,341628.0,0.65 %,2212.0,3.0,100250.0,380.0,1.8,37,94 %,0.00 %,341628
United Kingdom,193,67948282.0,0.53 %,355839.0,281.0,241930.0,260650.0,1.8,40,83 %,0.87 %,352063
New Zealand,13,4829021.0,0.82 %,39170.0,18.0,263310.0,14881.0,1.9,38,87 %,0.06 %,371463
Switzerland,23,8665615.0,0.74 %,63257.0,219.0,39516.0,52000.0,1.5,43,74 %,0.11 %,376765
Denmark,14,5795780.0,0.35 %,20326.0,137.0,42430.0,15200.0,1.8,42,88 %,0.07 %,413984
Netherlands,41,17141544.0,0.22 %,37742.0,508.0,33720.0,16000.0,1.7,43,92 %,0.22 %,418086
Israel,20,8678517.0,1.60 %,136158.0,400.0,21640.0,10000.0,3.0,30,93 %,0.11 %,433925
Germany,185,83830972.0,0.32 %,266897.0,240.0,348560.0,543822.0,1.6,46,76 %,1.07 %,453140
Slovakia,10,5460109.0,0.05 %,2629.0,114.0,48088.0,1485.0,1.5,41,54 %,0.07 %,546010
Belgium,21,11598451.0,0.44 %,50295.0,383.0,30280.0,48000.0,1.7,42,98 %,0.15 %,552307
Qatar,5,2889284.0,1.73 %,48986.0,248.0,11610.0,40000.0,1.9,32,96 %,0.04 %,577856
United Arab Emirates,17,9910892.0,1.23 %,119873.0,118.0,83600.0,40000.0,1.4,33,86 %,0.13 %,582993
Croatia,7,4100719.0,-0.61 %,-25037.0,73.0,55960.0,-8001.0,1.4,44,58 %,0.05 %,585817
France,102,65298930.0,0.22 %,143783.0,119.0,547557.0,36527.0,1.9,42,82 %,0.84 %,640185
Estonia,2,1326693.0,0.07 %,887.0,31.0,42390.0,3911.0,1.6,42,68 %,0.02 %,663346
Finland,8,5542237.0,0.15 %,8564.0,18.0,303890.0,14000.0,1.5,43,86 %,0.07 %,692779
Albania,4,2877239.0,-0.11 %,-3120.0,105.0,27400.0,-14000.0,1.6,36,63 %,0.04 %,719309
Hungary,11,9655983.0,-0.25 %,-24328.0,107.0,90530.0,6000.0,1.5,43,72 %,0.12 %,877816
Austria,9,9015361.0,0.57 %,51296.0,109.0,82409.0,65000.0,1.5,43,57 %,0.12 %,1001706
Romania,18,19214608.0,-0.66 %,-126866.0,84.0,230170.0,-73999.0,1.6,43,55 %,0.25 %,1067478
Azerbaijan,9,10154978.0,0.91 %,91459.0,123.0,82658.0,1200.0,2.1,32,56 %,0.13 %,1128330
South Korea,44,51276977.0,0.09 %,43877.0,527.0,97230.0,11731.0,1.1,44,82 %,0.66 %,1165385
Italy,51,60446035.0,-0.15 %,-88249.0,206.0,294140.0,148943.0,1.3,47,69 %,0.78 %,1185216
Cyprus,1,1208886.0,0.73 %,8784.0,131.0,9240.0,5000.0,1.3,37,67 %,0.02 %,1208886
Spain,38,46757980.0,0.04 %,18002.0,94.0,498800.0,40000.0,1.3,45,80 %,0.60 %,1230473
Serbia,7,8731081.0,-0.40 %,-34864.0,100.0,87460.0,4000.0,1.5,42,56 %,0.11 %,1247297
Greece,8,10413936.0,-0.48 %,-50401.0,81.0,128900.0,-16000.0,1.3,46,85 %,0.13 %,1301742
Taiwan,18,23824369.0,0.18 %,42899.0,673.0,35410.0,30001.0,1.2,42,79 %,0.31 %,1323576
Portugal,7,10191409.0,-0.29 %,-29478.0,111.0,91590.0,-6000.0,1.3,46,66 %,0.13 %,1455915
Malaysia,20,32436963.0,1.30 %,416222.0,99.0,328550.0,50000.0,2.0,30,78 %,0.42 %,1621848
Bahrain,1,1711057.0,3.68 %,60403.0,2239.0,760.0,47800.0,2.0,32,89 %,0.02 %,1711057
Uruguay,2,3475842.0,0.35 %,11996.0,20.0,175020.0,-3000.0,2.0,36,96 %,0.04 %,1737921
South Africa,34,59436725.0,1.28 %,750420.0,49.0,1213090.0,145405.0,2.4,28,67 %,0.76 %,1748138
Sri Lanka,11,21428970.0,0.42 %,89516.0,341.0,62710.0,-97986.0,2.2,34,18 %,0.27 %,1948088
Ukraine,22,43686577.0,-0.59 %,-259876.0,75.0,579320.0,10000.0,1.4,41,69 %,0.56 %,1985753
Slovenia,1,2078989.0,0.01 %,284.0,103.0,20140.0,2000.0,1.6,45,55 %,0.03 %,2078989
Lesotho,1,2145194.0,0.80 %,16981.0,71.0,30360.0,-10047.0,3.2,24,31 %,0.03 %,2145194
Bulgaria,3,6939018.0,-0.74 %,-51674.0,64.0,108560.0,-4800.0,1.6,45,76 %,0.09 %,2313006
Tunisia,5,11839918.0,1.06 %,123900.0,76.0,155360.0,-4000.0,2.2,33,70 %,0.15 %,2367983
Chile,8,19144605.0,0.87 %,164163.0,26.0,743532.0,111708.0,1.7,35,85 %,0.25 %,2393075
Thailand,29,69830779.0,0.25 %,174396.0,137.0,510890.0,19444.0,1.5,40,51 %,0.90 %,2407957
Namibia,1,2548663.0,1.86 %,46375.0,3.0,823290.0,-4806.0,3.4,22,55 %,0.03 %,2548663
Oman,2,5128058.0,2.65 %,131640.0,16.0,309500.0,87400.0,2.9,31,87 %,0.07 %,2564029
Russia,56,145945524.0,0.04 %,62206.0,9.0,16376870.0,182456.0,1.8,40,74 %,1.87 %,2606170
Lithuania,1,2715340.0,-1.35 %,-37338.0,43.0,62674.0,-32780.0,1.7,45,71 %,0.03 %,2715340
Brazil,74,212821986.0,0.72 %,1509890.0,25.0,8358140.0,21200.0,1.7,33,88 %,2.73 %,2875972
Poland,13,37839255.0,-0.11 %,-41157.0,124.0,306230.0,-29395.0,1.4,42,60 %,0.49 %,2910711
Armenia,1,2964219.0,0.19 %,5512.0,104.0,28470.0,-4998.0,1.8,35,63 %,0.04 %,2964219
Belarus,3,9448772.0,-0.03 %,-3088.0,47.0,202910.0,8730.0,1.7,40,79 %,0.12 %,3149590
Libya,2,6887247.0,1.38 %,93840.0,4.0,1759540.0,-1999.0,2.3,29,78 %,0.09 %,3443623
Argentina,13,45267449.0,0.93 %,415097.0,17.0,2736690.0,4800.0,2.3,32,93 %,0.58 %,3482111
India,387,1382345085.0,0.99 %,13586631.0,464.0,2973190.0,-532687.0,2.2,28,35 %,17.70 %,3571951
Colombia,14,50976248.0,1.08 %,543448.0,46.0,1109500.0,204796.0,1.8,31,80 %,0.65 %,3641160
Ghana,8,31181428.0,2.15 %,655084.0,137.0,227540.0,-10000.0,3.9,22,57 %,0.40 %,3897678
Georgia,1,3987805.0,-0.19 %,-7598.0,57.0,69490.0,-10000.0,2.1,38,58 %,0.05 %,3987805
Panama,1,4326296.0,1.61 %,68328.0,58.0,74340.0,11200.0,2.5,30,68 %,0.06 %,4326296
Turkey,19,84495243.0,1.09 %,909452.0,110.0,769630.0,283922.0,2.1,32,76 %,1.08 %,4447118
Mauritania,1,4669775.0,2.74 %,123962.0,5.0,1030700.0,5000.0,4.6,20,57 %,0.06 %,4669775
Kazakhstan,4,18815231.0,1.21 %,225280.0,7.0,2699700.0,-18000.0,2.8,31,58 %,0.24 %,4703807
Costa Rica,1,5102158.0,0.92 %,46557.0,100.0,51060.0,4200.0,1.8,33,80 %,0.07 %,5102158
Japan,24,126407422.0,-0.30 %,-383840.0,347.0,364555.0,71560.0,1.4,48,92 %,1.62 %,5266975
Dominican Republic,2,10866667.0,1.01 %,108952.0,225.0,48320.0,-30000.0,2.4,28,85 %,0.14 %,5433333
Bolivia,2,11700207.0,1.39 %,159921.0,11.0,1083300.0,-9504.0,2.8,26,69 %,0.15 %,5850103
Benin,2,12175480.0,2.73 %,322049.0,108.0,112760.0,-2000.0,4.9,19,48 %,0.16 %,6087740
Philippines,17,109830324.0,1.35 %,1464463.0,368.0,298170.0,-67152.0,2.6,26,47 %,1.41 %,6460607
Peru,5,33050211.0,1.42 %,461401.0,26.0,1280000.0,99069.0,2.3,31,79 %,0.42 %,6610042
Lebanon,1,6819976.0,-0.44 %,-30268.0,667.0,10230.0,-30012.0,2.1,30,78 %,0.09 %,6819976
Venezuela,4,28421581.0,-0.28 %,-79889.0,32.0,882050.0,-653249.0,2.3,30,N.A.,0.36 %,7105395
Vietnam,13,97490013.0,0.91 %,876473.0,314.0,310070.0,-80000.0,2.1,32,38 %,1.25 %,7499231
Kenya,7,53968739.0,2.28 %,1197323.0,94.0,569140.0,-10000.0,3.5,20,28 %,0.69 %,7709819
Saudi Arabia,4,34905942.0,1.59 %,545343.0,16.0,2149690.0,134979.0,2.3,32,84 %,0.45 %,8726485
Madagascar,3,27808395.0,2.68 %,721711.0,48.0,581795.0,-1500.0,4.1,20,39 %,0.36 %,9269465
Nepal,3,29225196.0,1.85 %,528098.0,203.0,143350.0,41710.0,1.9,25,21 %,0.37 %,9741732
Jordan,1,10220604.0,1.00 %,101440.0,115.0,88780.0,10220.0,2.8,24,91 %,0.13 %,10220604
Morocco,3,36985624.0,1.20 %,438791.0,83.0,446300.0,-51419.0,2.4,30,64 %,0.47 %,12328541
Rwanda,1,13005303.0,2.58 %,325268.0,525.0,24670.0,-9000.0,4.1,20,18 %,0.17 %,13005303
Indonesia,19,274021604.0,1.07 %,2898047.0,151.0,1811570.0,-98955.0,2.3,30,56 %,3.51 %,14422189
Pakistan,15,221612785.0,2.00 %,4327022.0,287.0,770880.0,-233379.0,3.6,23,35 %,2.83 %,14774185
Uganda,3,45974931.0,3.32 %,1471413.0,229.0,199810.0,168694.0,5.0,17,26 %,0.59 %,15324977
Cambodia,1,16758448.0,1.41 %,232423.0,95.0,176520.0,-30000.0,2.5,26,24 %,0.21 %,16758448
Senegal,1,16816539.0,2.75 %,447563.0,87.0,192530.0,-20000.0,4.7,19,49 %,0.21 %,16816539
Guatemala,1,17971382.0,1.90 %,334096.0,167.0,107160.0,-9215.0,2.9,23,52 %,0.23 %,17971382
Nigeria,11,206984347.0,2.58 %,5175990.0,226.0,910770.0,-60000.0,5.4,18,52 %,2.64 %,18816758
Malawi,1,19211425.0,2.69 %,501205.0,203.0,94280.0,-16053.0,4.3,18,18 %,0.25 %,19211425
Iraq,2,40372771.0,2.32 %,912710.0,93.0,434320.0,7834.0,3.7,21,73 %,0.52 %,20186385
Egypt,4,102659126.0,1.94 %,1946331.0,103.0,995450.0,-38033.0,3.3,25,43 %,1.31 %,25664781
Cameroon,1,26655083.0,2.59 %,669483.0,56.0,472710.0,-4800.0,4.6,19,56 %,0.34 %,26655083
Tanzania,2,60012400.0,2.98 %,1728755.0,67.0,885800.0,-40076.0,4.9,18,37 %,0.77 %,30006200
Ethiopia,3,115434444.0,2.57 %,2884858.0,115.0,1000000.0,30000.0,4.3,19,21 %,1.47 %,38478148
Bangladesh,4,164972348.0,1.01 %,1643222.0,1265.0,130170.0,-369501.0,2.1,28,39 %,2.11 %,41243087
China,33,1440297825.0,0.39 %,5540090.0,153.0,9388211.0,-348399.0,1.7,38,61 %,18.47 %,43645388
Algeria,1,43984569.0,1.85 %,797990.0,18.0,2381740.0,-10000.0,3.1,29,73 %,0.56 %,43984569
Sudan,1,44019263.0,2.42 %,1036022.0,25.0,1765048.0,-50000.0,4.4,20,35 %,0.56 %,44019263
